INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,31-Jan-2008,0,XX,10069,10450,9930,10346.4,10346.4,12973,33151.63,128100,15200,2-JAN-2008,
FUTIDX,BANKNIFTY,28-Feb-2008,0,XX,10351,10459,10351,10459,10389,3,7.79,75,25,2-JAN-2008,
FUTIDX,BANKNIFTY,27-Mar-2008,0,XX,10697.65,10697.65,10101.15,10101.15,10101.15,2,5.19,50,25,2-JAN-2008,
FUTIDX,CNX100,31-Jan-2008,0,XX,0,0,0,6088,6153.25,0,0,100,0,2-JAN-2008,
FUTIDX,CNX100,28-Feb-2008,0,XX,0,0,0,6099,6196.3,0,0,50,0,2-JAN-2008,
FUTIDX,CNX100,27-Mar-2008,0,XX,0,0,0,6100.55,6237.15,0,0,0,0,2-JAN-2008,
FUTIDX,CNXIT,31-Jan-2008,0,XX,4762.35,4762.35,4662.55,4736.8,4736.8,424,998.47,142150,-300,2-JAN-2008,
FUTIDX,CNXIT,28-Feb-2008,0,XX,4750,4750,4671.8,4671.8,4786.15,2,4.71,50,50,2-JAN-2008,
FUTIDX,CNXIT,27-Mar-2008,0,XX,0,0,0,4760.5,4817.7,0,0,0,0,2-JAN-2008,
FUTIDX,JUNIOR,31-Jan-2008,0,XX,12705.05,13069,12610,13030.8,13030.8,474,1522.53,129625,1575,2-JAN-2008,
FUTIDX,JUNIOR,28-Feb-2008,0,XX,0,0,0,11276.7,13085.7,0,0,0,0,2-JAN-2008,
FUTIDX,JUNIOR,27-Mar-2008,0,XX,0,0,0,11376.2,13172,0,0,0,0,2-JAN-2008,
FUTIDX,MINIFTY,31-Jan-2008,0,XX,6155,6234,6064,6219.7,6219.7,15457,18958.08,77040,58620,2-JAN-2008,
FUTIDX,MINIFTY,28-Feb-2008,0,XX,6141,6225,6060,6212.45,6212.45,156,191.38,1520,1280,2-JAN-2008,
FUTIDX,MINIFTY,27-Mar-2008,0,XX,6100,6235,6100,6219,6219,14,17.19,260,220,2-JAN-2008,
FUTIDX,NFTYMCAP50,31-Jan-2008,0,XX,3894,3945,3800,3941.35,3941.35,155,451.35,12150,5775,2-JAN-2008,
FUTIDX,NFTYMCAP50,28-Feb-2008,0,XX,0,0,0,3837.6,3980.65,0,0,0,0,2-JAN-2008,
FUTIDX,NFTYMCAP50,27-Mar-2008,0,XX,0,0,0,3747.65,4006.9,0,0,0,0,2-JAN-2008,
FUTIDX,NIFTY,31-Jan-2008,0,XX,6149.1,6236,6060,6220.1,6220.1,630123,1934503.74,33228600,-281550,2-JAN-2008,
FUTIDX,NIFTY,28-Feb-2008,0,XX,6140,6227,6056.95,6211.2,6211.2,9969,30518.2,885050,104900,2-JAN-2008,
FUTIDX,NIFTY,27-Mar-2008,0,XX,6134,6215,6050,6201.65,6201.65,1201,3689.74,54000,22450,2-JAN-2008,
FUTINT,NSE10Y06,31-Jan-2008,0,XX,0,0,0,87.03,87.69,0,0,0,0,2-JAN-2008,
FUTINT,NSE10Y06,28-Feb-2008,0,XX,0,0,0,85.96,87.77,0,0,0,0,2-JAN-2008,
FUTINT,NSE10Y06,27-Mar-2008,0,XX,0,0,0,88.7,87.82,0,0,0,0,2-JAN-2008,
FUTINT,NSE10Y06,26-Jun-2008,0,XX,0,0,0,86.56,87.96,0,0,0,0,2-JAN-2008,
FUTINT,NSE10Y06,25-Sep-2008,0,XX,0,0,0,86.88,88.1,0,0,0,0,2-JAN-2008,
FUTINT,NSE10Y06,25-Dec-2008,0,XX,0,0,0,87.7,88.23,0,0,0,0,2-JAN-2008,
FUTINT,NSE10YZC,31-Jan-2008,0,XX,0,0,0,45.82,46.31,0,0,0,0,2-JAN-2008,
FUTINT,NSE10YZC,28-Feb-2008,0,XX,0,0,0,44.71,46.34,0,0,0,0,2-JAN-2008,
FUTINT,NSE10YZC,27-Mar-2008,0,XX,0,0,0,46.71,46.37,0,0,0,0,2-JAN-2008,
FUTINT,NSE10YZC,26-Jun-2008,0,XX,0,0,0,45.61,46.41,0,0,0,0,2-JAN-2008,
FUTINT,NSE10YZC,25-Sep-2008,0,XX,0,0,0,45.6,46.45,0,0,0,0,2-JAN-2008,
FUTINT,NSE10YZC,25-Dec-2008,0,XX,0,0,0,46.28,46.5,0,0,0,0,2-JAN-2008,
FUTINT,NSETB91D,31-Jan-2008,0,XX,0,0,0,94.42,93.16,0,0,0,0,2-JAN-2008,
FUTINT,NSETB91D,28-Feb-2008,0,XX,0,0,0,93.37,93.81,0,0,0,0,2-JAN-2008,
FUTINT,NSETB91D,27-Mar-2008,0,XX,0,0,0,102.6,94.43,0,0,0,0,2-JAN-2008,
FUTINT,NSETB91D,26-Jun-2008,0,XX,0,0,0,100.78,96.45,0,0,0,0,2-JAN-2008,
FUTINT,NSETB91D,25-Sep-2008,0,XX,0,0,0,100.21,98.54,0,0,0,0,2-JAN-2008,
FUTINT,NSETB91D,25-Dec-2008,0,XX,0,0,0,100.49,100.67,0,0,0,0,2-JAN-2008,
FUTSTK,3IINFOTECH,31-Jan-2008,0,XX,151,151,146.25,147.9,147.9,908,1816.67,5373000,63450,2-JAN-2008,
FUTSTK,3IINFOTECH,28-Feb-2008,0,XX,151.5,151.5,148,149.8,149.8,16,32.25,37800,14850,2-JAN-2008,
FUTSTK,3IINFOTECH,27-Mar-2008,0,XX,0,0,0,144.1,148.65,0,0,0,0,2-JAN-2008,
FUTSTK,ABAN,31-Jan-2008,0,XX,5020,5124,4960,5111.85,5111.85,4365,11056.25,1063050,-23100,2-JAN-2008,
FUTSTK,ABAN,28-Feb-2008,0,XX,5084.1,5150,5081,5081,5146.7,12,30.81,500,200,2-JAN-2008,
FUTSTK,ABAN,27-Mar-2008,0,XX,0,0,0,4808.85,5180.65,0,0,0,0,2-JAN-2008,
FUTSTK,ABB,31-Jan-2008,0,XX,1526,1530,1501,1525.45,1525.45,1272,4824.35,1530000,1000,2-JAN-2008,
FUTSTK,ABB,28-Feb-2008,0,XX,1515,1541.7,1515,1535.85,1535.85,3,11.46,1500,750,2-JAN-2008,
FUTSTK,ABB,27-Mar-2008,0,XX,0,0,0,1517.25,1541.85,0,0,0,0,2-JAN-2008,
FUTSTK,ABIRLANUVO,31-Jan-2008,0,XX,2075,2189.7,2033,2169.6,2169.6,1576,6684.63,485800,52200,2-JAN-2008,
FUTSTK,ABIRLANUVO,28-Feb-2008,0,XX,2134.65,2180,2134.65,2180,2180,2,8.62,600,200,2-JAN-2008,
FUTSTK,ABIRLANUVO,27-Mar-2008,0,XX,0,0,0,1865.5,2189.55,0,0,0,0,2-JAN-2008,
FUTSTK,ACC,31-Jan-2008,0,XX,1045,1047.7,1018,1034.4,1034.4,2873,11146.67,2520375,48375,2-JAN-2008,
FUTSTK,ACC,28-Feb-2008,0,XX,1040,1040,1040,1040,1036.85,1,3.9,4875,375,2-JAN-2008,
FUTSTK,ACC,27-Mar-2008,0,XX,0,0,0,1025.75,1043.7,0,0,0,0,2-JAN-2008,
FUTSTK,ADLABSFILM,31-Jan-2008,0,XX,1515,1565,1480.8,1557.1,1557.1,7131,24617.09,2605500,428400,2-JAN-2008,
FUTSTK,ADLABSFILM,28-Feb-2008,0,XX,1637,1637,1575,1575,1575,2,7.22,225,225,2-JAN-2008,
FUTSTK,ADLABSFILM,27-Mar-2008,0,XX,0,0,0,1488.35,1567.15,0,0,0,0,2-JAN-2008,
FUTSTK,AIAENG,31-Jan-2008,0,XX,1690,1708,1663.1,1700,1700,38,128.68,102400,1800,2-JAN-2008,
FUTSTK,AIAENG,28-Feb-2008,0,XX,0,0,0,1514.1,1700.85,0,0,0,0,2-JAN-2008,
FUTSTK,AIAENG,27-Mar-2008,0,XX,0,0,0,1696.1,1712.05,0,0,0,0,2-JAN-2008,
FUTSTK,AIRDECCAN,31-Jan-2008,0,XX,290.8,293.4,282.15,286.5,286.5,2710,6622.44,7498700,49300,2-JAN-2008,
FUTSTK,AIRDECCAN,28-Feb-2008,0,XX,295,299,283,292,286.4,11,27.15,7650,850,2-JAN-2008,
FUTSTK,AIRDECCAN,27-Mar-2008,0,XX,0,0,0,285.35,288.25,0,0,0,0,2-JAN-2008,
FUTSTK,ALBK,31-Jan-2008,0,XX,133.3,144,132,141.45,141.45,5836,19882.45,9236500,80850,2-JAN-2008,
FUTSTK,ALBK,28-Feb-2008,0,XX,137,144.25,137,144.25,144.25,5,17.43,12250,9800,2-JAN-2008,
FUTSTK,ALBK,27-Mar-2008,0,XX,0,0,0,118.6,142.2,0,0,0,0,2-JAN-2008,
FUTSTK,ALOKTEXT,31-Jan-2008,0,XX,107.5,107.5,101.8,103.8,103.8,2207,7735.04,17584150,-67000,2-JAN-2008,
FUTSTK,ALOKTEXT,28-Feb-2008,0,XX,108.4,108.4,103,104.5,104.5,15,52.88,100500,3350,2-JAN-2008,
FUTSTK,ALOKTEXT,27-Mar-2008,0,XX,0,0,0,100.65,105.15,0,0,0,0,2-JAN-2008,
FUTSTK,AMBUJACEM,31-Jan-2008,0,XX,146.6,147.75,145.15,147,147,747,2256.36,6825220,59798,2-JAN-2008,
FUTSTK,AMBUJACEM,28-Feb-2008,0,XX,0,0,0,148.25,149.95,0,0,4124,0,2-JAN-2008,
FUTSTK,AMBUJACEM,27-Mar-2008,0,XX,0,0,0,149.15,150.95,0,0,0,0,2-JAN-2008,
FUTSTK,AMTEKAUTO,31-Jan-2008,0,XX,439,448,433.5,440.6,440.6,428,1133.2,574800,68400,2-JAN-2008,
FUTSTK,AMTEKAUTO,28-Feb-2008,0,XX,0,0,0,429,439.1,0,0,0,0,2-JAN-2008,
FUTSTK,AMTEKAUTO,27-Mar-2008,0,XX,0,0,0,437.9,442,0,0,0,0,2-JAN-2008,
FUTSTK,ANDHRABANK,31-Jan-2008,0,XX,114.25,122.7,113.25,121.75,121.75,6803,18530.01,9581800,-151800,2-JAN-2008,
FUTSTK,ANDHRABANK,28-Feb-2008,0,XX,116.85,123.1,116.55,122.95,122.95,26,72.16,23000,18400,2-JAN-2008,
FUTSTK,ANDHRABANK,27-Mar-2008,0,XX,0,0,0,106.65,122.75,0,0,0,0,2-JAN-2008,
FUTSTK,ANSALINFRA,31-Jan-2008,0,XX,426,434.9,416.5,423.75,423.75,1690,4675.48,3594500,115700,2-JAN-2008,
FUTSTK,ANSALINFRA,28-Feb-2008,0,XX,0,0,0,436,422.5,0,0,3250,0,2-JAN-2008,
FUTSTK,ANSALINFRA,27-Mar-2008,0,XX,0,0,0,425,425.25,0,0,0,0,2-JAN-2008,
FUTSTK,APIL,31-Jan-2008,0,XX,1019,1054.5,1000,1039.85,1039.85,1525,3159.95,500600,7000,2-JAN-2008,
FUTSTK,APIL,28-Feb-2008,0,XX,0,0,0,936.15,1040.6,0,0,0,0,2-JAN-2008,
FUTSTK,APIL,27-Mar-2008,0,XX,0,0,0,1037.75,1047.45,0,0,0,0,2-JAN-2008,
FUTSTK,APTECHT,31-Jan-2008,0,XX,418.8,428,412.65,423.45,423.45,2000,5475.16,6050850,171600,2-JAN-2008,
FUTSTK,APTECHT,28-Feb-2008,0,XX,0,0,0,435,423.25,0,0,1300,0,2-JAN-2008,
FUTSTK,APTECHT,27-Mar-2008,0,XX,0,0,0,410.3,426.05,0,0,0,0,2-JAN-2008,
FUTSTK,ARVINDMILL,31-Jan-2008,0,XX,90.8,91.5,88.75,89.85,89.85,538,2078.39,23787600,-817000,2-JAN-2008,
FUTSTK,ARVINDMILL,28-Feb-2008,0,XX,0,0,0,92.75,90.1,0,0,249400,0,2-JAN-2008,
FUTSTK,ARVINDMILL,27-Mar-2008,0,XX,0,0,0,87.8,90.7,0,0,0,0,2-JAN-2008,
FUTSTK,ASHOKLEY,31-Jan-2008,0,XX,52.9,53.45,51.55,52.5,52.5,4184,10476.29,68922350,635075,2-JAN-2008,
FUTSTK,ASHOKLEY,28-Feb-2008,0,XX,53.5,53.6,52.2,53.05,53.05,53,133.82,463175,109825,2-JAN-2008,
FUTSTK,ASHOKLEY,27-Mar-2008,0,XX,0,0,0,50.55,52.95,0,0,0,0,2-JAN-2008,
FUTSTK,AUROPHARMA,31-Jan-2008,0,XX,559.75,559.75,545.7,552.7,552.7,1174,2261.42,1914850,113400,2-JAN-2008,
FUTSTK,AUROPHARMA,28-Feb-2008,0,XX,558,558,558,558,558,1,1.95,5600,0,2-JAN-2008,
FUTSTK,AUROPHARMA,27-Mar-2008,0,XX,0,0,0,538.35,557.05,0,0,0,0,2-JAN-2008,
FUTSTK,AXISBANK,31-Jan-2008,0,XX,989,1056.7,989,1046.55,1046.55,6186,14408.37,960750,164925,2-JAN-2008,
FUTSTK,AXISBANK,28-Feb-2008,0,XX,0,0,0,938.4,1048.6,0,0,0,0,2-JAN-2008,
FUTSTK,AXISBANK,27-Mar-2008,0,XX,0,0,0,977.3,1055.55,0,0,0,0,2-JAN-2008,
FUTSTK,BAJAJAUTO,31-Jan-2008,0,XX,2620,2655,2586.6,2636.1,2636.1,1714,4502.01,495500,31300,2-JAN-2008,
FUTSTK,BAJAJAUTO,28-Feb-2008,0,XX,2625.05,2625.05,2600,2625,2625,20,52.18,2600,1200,2-JAN-2008,
FUTSTK,BAJAJAUTO,27-Mar-2008,0,XX,0,0,0,2745.95,2654.45,0,0,0,0,2-JAN-2008,
FUTSTK,BAJAJHIND,31-Jan-2008,0,XX,296,299.4,285.7,292.25,292.25,2211,6171.5,9008850,-51300,2-JAN-2008,
FUTSTK,BAJAJHIND,28-Feb-2008,0,XX,304.2,304.2,304.2,304.2,293,1,2.88,3800,950,2-JAN-2008,
FUTSTK,BAJAJHIND,27-Mar-2008,0,XX,0,0,0,304.45,294.95,0,0,0,0,2-JAN-2008,
FUTSTK,BALRAMCHIN,31-Jan-2008,0,XX,118,119.75,113.3,116.25,116.25,2929,8236.35,20568000,-475200,2-JAN-2008,
FUTSTK,BALRAMCHIN,28-Feb-2008,0,XX,115.2,119.65,115,117,117,7,19.63,14400,7200,2-JAN-2008,
FUTSTK,BALRAMCHIN,27-Mar-2008,0,XX,0,0,0,119.3,118.05,0,0,0,0,2-JAN-2008,
FUTSTK,BANKBARODA,31-Jan-2008,0,XX,482,504,478.6,492.9,492.9,3293,11348.04,4258800,79100,2-JAN-2008,
FUTSTK,BANKBARODA,28-Feb-2008,0,XX,496.5,498,496.5,498,491.75,2,6.96,1400,1400,2-JAN-2008,
FUTSTK,BANKBARODA,27-Mar-2008,0,XX,0,0,0,442.05,495,0,0,0,0,2-JAN-2008,
FUTSTK,BANKINDIA,31-Jan-2008,0,XX,380,396,377.25,388.5,388.5,6769,24961.08,4619850,61750,2-JAN-2008,
FUTSTK,BANKINDIA,28-Feb-2008,0,XX,385,422,382,389,388.65,22,82.17,19000,16150,2-JAN-2008,
FUTSTK,BANKINDIA,27-Mar-2008,0,XX,0,0,0,367.1,391.2,0,0,0,0,2-JAN-2008,
FUTSTK,BATAINDIA,31-Jan-2008,0,XX,286.65,286.75,275,280.9,280.9,665,1957.68,1915200,-14700,2-JAN-2008,
FUTSTK,BATAINDIA,28-Feb-2008,0,XX,279.2,279.2,278.4,278.4,282.05,2,5.85,9450,1050,2-JAN-2008,
FUTSTK,BATAINDIA,27-Mar-2008,0,XX,0,0,0,253.25,283.95,0,0,0,0,2-JAN-2008,
FUTSTK,BEL,31-Jan-2008,0,XX,2124,2174,2058,2122.25,2122.25,394,2310.49,208450,9075,2-JAN-2008,
FUTSTK,BEL,28-Feb-2008,0,XX,0,0,0,2142,2135.55,0,0,275,0,2-JAN-2008,
FUTSTK,BEL,27-Mar-2008,0,XX,0,0,0,2018.2,2149.65,0,0,0,0,2-JAN-2008,
FUTSTK,BEML,31-Jan-2008,0,XX,1715.55,1805,1680,1787.75,1787.75,679,1498.12,81625,9250,2-JAN-2008,
FUTSTK,BEML,28-Feb-2008,0,XX,0,0,0,1674.75,1790.8,0,0,0,0,2-JAN-2008,
FUTSTK,BEML,27-Mar-2008,0,XX,0,0,0,1745.45,1802.6,0,0,0,0,2-JAN-2008,
FUTSTK,BHARATFORG,31-Jan-2008,0,XX,373.2,374.8,361,371.7,371.7,1855,6840.83,7778000,-158000,2-JAN-2008,
FUTSTK,BHARATFORG,28-Feb-2008,0,XX,0,0,0,372,373.8,0,0,4000,0,2-JAN-2008,
FUTSTK,BHARATFORG,27-Mar-2008,0,XX,0,0,0,348.3,376.25,0,0,0,0,2-JAN-2008,
FUTSTK,BHARTIARTL,31-Jan-2008,0,XX,975,983.8,955.1,977.4,977.4,8451,20496.93,6161750,133000,2-JAN-2008,
FUTSTK,BHARTIARTL,28-Feb-2008,0,XX,973.25,984,960,980.6,980.6,59,143.42,24250,4000,2-JAN-2008,
FUTSTK,BHARTIARTL,27-Mar-2008,0,XX,0,0,0,986.5,985.75,0,0,0,0,2-JAN-2008,
FUTSTK,BHEL,31-Jan-2008,0,XX,2580,2598.9,2510,2574.05,2574.05,10355,19819.08,2729250,40725,2-JAN-2008,
FUTSTK,BHEL,28-Feb-2008,0,XX,2600.05,2600.05,2530,2593.45,2593.45,74,142.4,11925,2700,2-JAN-2008,
FUTSTK,BHEL,27-Mar-2008,0,XX,0,0,0,2614,2602.15,0,0,0,0,2-JAN-2008,
FUTSTK,BHUSANSTL,31-Jan-2008,0,XX,1611,1708.8,1593.5,1684.25,1684.25,1781,7371.39,224000,32750,2-JAN-2008,
FUTSTK,BHUSANSTL,28-Feb-2008,0,XX,1684.65,1684.65,1684.65,1684.65,1682.95,1,4.21,250,250,2-JAN-2008,
FUTSTK,BHUSANSTL,27-Mar-2008,0,XX,0,0,0,1550.55,1694.05,0,0,0,0,2-JAN-2008,
FUTSTK,BILT,31-Jan-2008,0,XX,186.3,187.6,179,186.7,186.7,912,3198.59,3467500,-38000,2-JAN-2008,
FUTSTK,BILT,28-Feb-2008,0,XX,193.5,193.5,184.1,188,187.1,3,10.74,5700,1900,2-JAN-2008,
FUTSTK,BILT,27-Mar-2008,0,XX,0,0,0,176.65,188.35,0,0,0,0,2-JAN-2008,
FUTSTK,BINDALAGRO,31-Jan-2008,0,XX,73,78.3,70.25,76.5,76.5,3620,13415.07,21473100,445500,2-JAN-2008,
FUTSTK,BINDALAGRO,28-Feb-2008,0,XX,75.45,78.7,75.45,77.1,77.1,8,30.52,44550,19800,2-JAN-2008,
FUTSTK,BINDALAGRO,27-Mar-2008,0,XX,0,0,0,70,77.35,0,0,0,0,2-JAN-2008,
FUTSTK,BIOCON,31-Jan-2008,0,XX,609.9,623.7,600.3,620.6,620.6,2471,6827.82,1717650,87300,2-JAN-2008,
FUTSTK,BIOCON,28-Feb-2008,0,XX,648.5,648.5,648.5,648.5,621.6,1,2.91,0,0,2-JAN-2008,
FUTSTK,BIOCON,27-Mar-2008,0,XX,0,0,0,579.75,625.7,0,0,0,0,2-JAN-2008,
FUTSTK,BIRLAJUTE,31-Jan-2008,0,XX,339.9,346.7,332,339.45,339.45,1047,3027.42,2418250,165750,2-JAN-2008,
FUTSTK,BIRLAJUTE,28-Feb-2008,0,XX,0,0,0,336.3,339.4,0,0,0,0,2-JAN-2008,
FUTSTK,BIRLAJUTE,27-Mar-2008,0,XX,345,345,345,345,341.6,1,2.93,850,850,2-JAN-2008,
FUTSTK,BOMDYEING,31-Jan-2008,0,XX,774.9,928.8,774.9,914.4,914.4,18249,47626.75,1669500,243300,2-JAN-2008,
FUTSTK,BOMDYEING,28-Feb-2008,0,XX,820,940,820,929,929,37,98.96,3900,3300,2-JAN-2008,
FUTSTK,BOMDYEING,27-Mar-2008,0,XX,0,0,0,746.85,917.85,0,0,0,0,2-JAN-2008,
FUTSTK,BONGAIREFN,31-Jan-2008,0,XX,110,110.5,105.5,107.5,107.5,1374,3337.16,9486000,204750,2-JAN-2008,
FUTSTK,BONGAIREFN,28-Feb-2008,0,XX,109.25,109.25,108.2,108.4,108.4,6,14.65,20250,-4500,2-JAN-2008,
FUTSTK,BONGAIREFN,27-Mar-2008,0,XX,0,0,0,105,108.25,0,0,0,0,2-JAN-2008,
FUTSTK,BPCL,31-Jan-2008,0,XX,502,522,491,514.35,514.35,3502,9801.23,2390300,-194700,2-JAN-2008,
FUTSTK,BPCL,28-Feb-2008,0,XX,495,516,485,509,509,7,19.29,12650,550,2-JAN-2008,
FUTSTK,BPCL,27-Mar-2008,0,XX,0,0,0,485.35,531.6,0,0,0,0,2-JAN-2008,
FUTSTK,BRFL,31-Jan-2008,0,XX,368,383.4,355,378.75,378.75,1471,6334.25,3054400,11500,2-JAN-2008,
FUTSTK,BRFL,28-Feb-2008,0,XX,0,0,0,371,378.15,0,0,1150,0,2-JAN-2008,
FUTSTK,BRFL,27-Mar-2008,0,XX,0,0,0,344.8,380.65,0,0,0,0,2-JAN-2008,
FUTSTK,BRIGADE,31-Jan-2008,0,XX,410.05,416.25,397.15,402.7,402.7,1545,3464.63,1010350,249700,2-JAN-2008,
FUTSTK,BRIGADE,28-Feb-2008,0,XX,402,430,402,430,402.35,2,4.57,0,0,2-JAN-2008,
FUTSTK,BRIGADE,27-Mar-2008,0,XX,0,0,0,398.45,405,0,0,0,0,2-JAN-2008,
FUTSTK,CAIRN,31-Jan-2008,0,XX,249.8,251.35,240.8,245.5,245.5,7109,21801.45,21090000,23750,2-JAN-2008,
FUTSTK,CAIRN,28-Feb-2008,0,XX,248,251,243,247.85,247.85,49,150.7,112500,27500,2-JAN-2008,
FUTSTK,CAIRN,27-Mar-2008,0,XX,0,0,0,249.15,248.15,0,0,0,0,2-JAN-2008,
FUTSTK,CANBK,31-Jan-2008,0,XX,349,409,348.75,399.7,399.7,10772,33265.53,2564000,274400,2-JAN-2008,
FUTSTK,CANBK,28-Feb-2008,0,XX,352,406.1,352,402,402,17,53.74,7200,6400,2-JAN-2008,
FUTSTK,CANBK,27-Mar-2008,0,XX,0,0,0,308.55,402.55,0,0,0,0,2-JAN-2008,
FUTSTK,CENTRALBK,31-Jan-2008,0,XX,144.8,151.5,141.5,149.45,149.45,6877,20313.64,10064000,78000,2-JAN-2008,
FUTSTK,CENTRALBK,28-Feb-2008,0,XX,144.9,152.3,144.9,152.3,152.3,2,5.94,2000,0,2-JAN-2008,
